condition,n_tasks,Accuracy@1,Accuracy@3,Accuracy@5,MRR,Precision@5,Recall@5
C1_free_text,40,0.35,0.5,0.55,0.4621031746031746,0.31499999999999995,0.42374999999999996
C2_metadata_filtered,40,0.5,0.925,0.975,0.710654761904762,0.7300000000000001,0.95625
C3_hybrid,40,0.65,0.95,0.95,0.7946428571428571,0.6950000000000001,0.9125
C4_generic_taxonomy,40,0.425,0.575,0.725,0.5467956349206349,0.30500000000000005,0.41875
