task_id,condition,rank,record_id,score
TASK-011,C3_hybrid,3,LL-0012,0.2676419207311852
TASK-011,C3_hybrid,4,SOP-0025,0.2645019708000924
TASK-011,C3_hybrid,5,INC-0043,0.23274162164956125
TASK-011,C3_hybrid,6,INC-0172,0.1892058233292492
TASK-011,C3_hybrid,7,INC-0129,0.14143672094188256
TASK-011,C3_hybrid,8,INC-0068,0.13881590996965004
TASK-011,C3_hybrid,9,INC-0102,0.13126367051708626
TASK-011,C3_hybrid,10,INC-0139,0.10052173715092147
TASK-012,C3_hybrid,1,INC-0040,0.3565071473729963
TASK-012,C3_hybrid,2,INC-0104,0.34180449026527693
TASK-012,C3_hybrid,3,INC-0168,0.30041390577498356
TASK-012,C3_hybrid,4,SOP-0024,0.2716897227281947
TASK-012,C3_hybrid,5,LL-0005,0.265168077819953
TASK-012,C3_hybrid,6,INC-0027,0.24290101743136006
TASK-012,C3_hybrid,7,INC-0033,0.22245515169477828
TASK-012,C3_hybrid,8,INC-0062,0.17041710505064164
TASK-012,C3_hybrid,9,INC-0128,0.16762781669183063
TASK-012,C3_hybrid,10,INC-0091,0.16073607409490132
TASK-013,C3_hybrid,1,INC-0102,0.3689823759252677
TASK-013,C3_hybrid,2,INC-0166,0.32778157507577715
TASK-013,C3_hybrid,3,SOP-0041,0.2988306753262353
TASK-013,C3_hybrid,4,LL-0010,0.2702735332582786
TASK-013,C3_hybrid,5,INC-0038,0.2689370708065621
TASK-013,C3_hybrid,6,VND-0017,0.17037318843842536
TASK-013,C3_hybrid,7,INC-0068,0.16287533946760158
TASK-013,C3_hybrid,8,INC-0139,0.14000911125742938
TASK-013,C3_hybrid,9,INC-0172,0.1389928747538564
TASK-013,C3_hybrid,10,SOP-0019,0.12664290180407367
TASK-014,C3_hybrid,1,INC-0117,0.45049402749325734
TASK-014,C3_hybrid,2,SOP-0039,0.3511767571408283
TASK-014,C3_hybrid,3,INC-0053,0.2879432635353429
TASK-014,C3_hybrid,4,VND-0027,0.16406918801506795
TASK-014,C3_hybrid,5,VND-0034,0.1628757825300176
TASK-014,C3_hybrid,6,INC-0041,0.14839305560046084
TASK-014,C3_hybrid,7,INC-0118,0.1430163610032174
TASK-014,C3_hybrid,8,INC-0054,0.13314632616671712
TASK-014,C3_hybrid,9,SOP-0002,0.1293784656217199
TASK-014,C3_hybrid,10,INC-0169,0.1146530182192212
TASK-015,C3_hybrid,1,INC-0147,0.417821935651208
TASK-015,C3_hybrid,2,SOP-0015,0.34969035582274166
TASK-015,C3_hybrid,3,INC-0083,0.34199036718342374
TASK-015,C3_hybrid,4,INC-0177,0.3374362943625076
TASK-015,C3_hybrid,5,INC-0012,0.31478860137334425
TASK-015,C3_hybrid,6,INC-0018,0.30153500524782195
TASK-015,C3_hybrid,7,INC-0173,0.2943619500074421
TASK-015,C3_hybrid,8,INC-0019,0.2880240756393889
TASK-015,C3_hybrid,9,INC-0057,0.2226270707281107
TASK-015,C3_hybrid,10,INC-0082,0.21816418561212936
TASK-016,C3_hybrid,1,INC-0037,0.40940327971276586
TASK-016,C3_hybrid,2,INC-0101,0.4063604376841138
TASK-016,C3_hybrid,3,SOP-0007,0.3035081248754766
TASK-016,C3_hybrid,4,INC-0165,0.24336672190300324
TASK-016,C3_hybrid,5,INC-0138,0.14902303056494867
TASK-016,C3_hybrid,6,INC-0051,0.1454778806072896
TASK-016,C3_hybrid,7,INC-0123,0.1398874844899891
TASK-016,C3_hybrid,8,INC-0079,0.13685568389576017
TASK-016,C3_hybrid,9,INC-0059,0.13482783561730594
TASK-016,C3_hybrid,10,INC-0039,0.13230750280701592
TASK-017,C3_hybrid,1,INC-0003,0.4242804791104828
TASK-017,C3_hybrid,2,INC-0067,0.3765294321727314
TASK-017,C3_hybrid,3,INC-0131,0.31667711746960736
TASK-017,C3_hybrid,4,SOP-0030,0.2997586409416185
TASK-017,C3_hybrid,5,VND-0032,0.2892557222009027
TASK-017,C3_hybrid,6,LL-0030,0.2712817636929564
TASK-017,C3_hybrid,7,VND-0020,0.26972024694854013
TASK-017,C3_hybrid,8,VND-0003,0.26971269770989664
TASK-017,C3_hybrid,9,VND-0016,0.265166640254046
TASK-017,C3_hybrid,10,VND-0004,0.265166640254046
TASK-018,C3_hybrid,1,INC-0057,0.4375867529831834
TASK-018,C3_hybrid,2,VND-0023,0.426275622184494
TASK-018,C3_hybrid,3,VND-0018,0.426275622184494
TASK-018,C3_hybrid,4,VND-0039,0.4005464515092951
TASK-018,C3_hybrid,5,VND-0013,0.3877744370779024
TASK-018,C3_hybrid,6,VND-0040,0.38665825736859827
TASK-018,C3_hybrid,7,VND-0022,0.38665825736859827
TASK-018,C3_hybrid,8,INC-0121,0.3770780392672547
TASK-018,C3_hybrid,9,SOP-0021,0.28093304240542794
TASK-018,C3_hybrid,10,LL-0018,0.2717851464544757
TASK-019,C3_hybrid,1,SOP-0006,0.32182027329996954
TASK-019,C3_hybrid,2,INC-0180,0.3110444771620769
TASK-019,C3_hybrid,3,INC-0052,0.24831172985165523
TASK-019,C3_hybrid,4,INC-0036,0.21692635796271215
TASK-019,C3_hybrid,5,INC-0116,0.2148663508478413
TASK-019,C3_hybrid,6,INC-0157,0.2029459833745249
TASK-019,C3_hybrid,7,INC-0014,0.17973586862351176
TASK-019,C3_hybrid,8,INC-0131,0.16122482938261842
TASK-019,C3_hybrid,9,INC-0066,0.1569615572653884
TASK-019,C3_hybrid,10,SOP-0044,0.15557261918601198
TASK-020,C3_hybrid,1,INC-0097,0.3614698767206259
TASK-020,C3_hybrid,2,INC-0161,0.3360275545081217
TASK-020,C3_hybrid,3,SOP-0029,0.3242639913884505
TASK-020,C3_hybrid,4,INC-0033,0.19457605310317644
TASK-020,C3_hybrid,5,SOP-0036,0.16860617673652883
TASK-020,C3_hybrid,6,INC-0028,0.14818634637075123
TASK-020,C3_hybrid,7,INC-0062,0.14712845385876316
TASK-020,C3_hybrid,8,INC-0042,0.1396200065809555
TASK-020,C3_hybrid,9,INC-0168,0.13825553209048316
TASK-020,C3_hybrid,10,INC-0005,0.13753160065003175
TASK-021,C3_hybrid,1,INC-0142,0.44463325749194926
TASK-021,C3_hybrid,2,SOP-0001,0.3858245201732615
TASK-021,C3_hybrid,3,INC-0078,0.27465479835516227
TASK-021,C3_hybrid,4,INC-0014,0.26917257188263505
TASK-021,C3_hybrid,5,INC-0052,0.25009977095371455
TASK-021,C3_hybrid,6,INC-0131,0.2389120404836702
TASK-021,C3_hybrid,7,SOP-0030,0.2044234126082189
TASK-021,C3_hybrid,8,SOP-0026,0.20364899600119796
TASK-021,C3_hybrid,9,SOP-0033,0.2031601948916316
TASK-021,C3_hybrid,10,SOP-0014,0.2006127544157153
TASK-022,C3_hybrid,1,INC-0054,0.5487997305426254
TASK-022,C3_hybrid,2,INC-0118,0.41046295082892065
TASK-022,C3_hybrid,3,SOP-0004,0.28535571402297455
TASK-022,C3_hybrid,4,LL-0006,0.2671915545061847
TASK-022,C3_hybrid,5,INC-0169,0.25776917072372385
TASK-022,C3_hybrid,6,INC-0048,0.25401102184096114
TASK-022,C3_hybrid,7,INC-0117,0.22748501156721293
TASK-022,C3_hybrid,8,INC-0041,0.19672045348782638
TASK-022,C3_hybrid,9,INC-0119,0.18165620257523046
TASK-022,C3_hybrid,10,INC-0058,0.16923755371382854
TASK-023,C3_hybrid,1,SOP-0005,0.4636011149384908
TASK-023,C3_hybrid,2,INC-0009,0.458050197042652
TASK-023,C3_hybrid,3,LL-0008,0.42659685598152974
TASK-023,C3_hybrid,4,INC-0137,0.39733608803448794
TASK-023,C3_hybrid,5,INC-0073,0.3276946317510895
TASK-023,C3_hybrid,6,INC-0153,0.2720782259056922
TASK-023,C3_hybrid,7,SOP-0048,0.2366314637463815
TASK-023,C3_hybrid,8,INC-0024,0.2179399060424345
TASK-023,C3_hybrid,9,VND-0025,0.2118941619652179
TASK-023,C3_hybrid,10,SOP-0031,0.20897891870710078
TASK-024,C3_hybrid,1,INC-0110,0.4906241767362376
TASK-024,C3_hybrid,2,INC-0174,0.41465693888278254
TASK-024,C3_hybrid,3,INC-0006,0.3704936164638395
TASK-024,C3_hybrid,4,INC-0001,0.32223149995778916
TASK-024,C3_hybrid,5,INC-0011,0.3141138280724865
TASK-024,C3_hybrid,6,LL-0029,0.28458945436917304
TASK-024,C3_hybrid,7,SOP-0034,0.27762223332575575
TASK-024,C3_hybrid,8,INC-0046,0.26772350863008265
TASK-024,C3_hybrid,9,VND-0019,0.23684030177169352
TASK-024,C3_hybrid,10,VND-0017,0.2357600433402547
TASK-025,C3_hybrid,1,INC-0082,0.46855432120693
TASK-025,C3_hybrid,2,SOP-0032,0.36326259686376494
TASK-025,C3_hybrid,3,INC-0146,0.33694347331182906
TASK-025,C3_hybrid,4,INC-0018,0.31439801980284365
TASK-025,C3_hybrid,5,VND-0018,0.2839213535320619
TASK-025,C3_hybrid,6,VND-0023,0.2839213535320619
TASK-025,C3_hybrid,7,VND-0039,0.25669969229818984
TASK-025,C3_hybrid,8,VND-0013,0.24544638413406844
TASK-025,C3_hybrid,9,VND-0022,0.24446292813323073
TASK-025,C3_hybrid,10,VND-0040,0.24446292813323073
TASK-026,C3_hybrid,1,SOP-0010,0.3972727607376988
TASK-026,C3_hybrid,2,INC-0124,0.38444156501077287
TASK-026,C3_hybrid,3,INC-0060,0.3819519274171055
TASK-026,C3_hybrid,4,INC-0096,0.28523467786202406
TASK-026,C3_hybrid,5,INC-0152,0.2432258903556601
TASK-026,C3_hybrid,6,SOP-0031,0.24163522505852073
TASK-026,C3_hybrid,7,INC-0024,0.2011279673635714
TASK-026,C3_hybrid,8,SOP-0003,0.19684055951721535
TASK-026,C3_hybrid,9,SOP-0011,0.19664367888848958
TASK-026,C3_hybrid,10,SOP-0005,0.19202113521417408
TASK-027,C3_hybrid,1,INC-0159,0.4491527332741155
TASK-027,C3_hybrid,2,SOP-0014,0.4359986788650531
TASK-027,C3_hybrid,3,LL-0001,0.3949775847184093
TASK-027,C3_hybrid,4,INC-0095,0.343000269631366
TASK-027,C3_hybrid,5,INC-0031,0.33101225733736217
TASK-027,C3_hybrid,6,INC-0178,0.21954027939858728
TASK-027,C3_hybrid,7,SOP-0006,0.21645785144665497
TASK-027,C3_hybrid,8,VND-0003,0.20841991393751869
TASK-027,C3_hybrid,9,INC-0116,0.19587738472508923
TASK-027,C3_hybrid,10,INC-0052,0.1914608055132548
TASK-028,C3_hybrid,1,INC-0006,0.49838738330618504
TASK-028,C3_hybrid,2,INC-0134,0.4970868686163196
TASK-028,C3_hybrid,3,INC-0070,0.3188086293059257
TASK-028,C3_hybrid,4,INC-0011,0.28262485902167284
TASK-028,C3_hybrid,5,INC-0110,0.2818436651055036
TASK-028,C3_hybrid,6,INC-0139,0.2673983486884609
TASK-028,C3_hybrid,7,INC-0001,0.24875237890192403
TASK-028,C3_hybrid,8,INC-0065,0.24271504701693436
TASK-028,C3_hybrid,9,INC-0075,0.24097312537731524
TASK-028,C3_hybrid,10,INC-0004,0.24059637467062842
TASK-029,C3_hybrid,1,INC-0075,0.3567290295474175
TASK-029,C3_hybrid,2,SOP-0019,0.3238190600322648
TASK-029,C3_hybrid,3,INC-0139,0.3189278350605208
TASK-029,C3_hybrid,4,VND-0019,0.27409940639100455
TASK-029,C3_hybrid,5,INC-0011,0.2736413244752778
TASK-029,C3_hybrid,6,VND-0017,0.2713706622885394
TASK-029,C3_hybrid,7,VND-0012,0.26962031008548176
TASK-029,C3_hybrid,8,VND-0029,0.26533446615487916
TASK-029,C3_hybrid,9,SOP-0041,0.16995226296468444
TASK-029,C3_hybrid,10,SOP-0008,0.1693318283993252
TASK-030,C3_hybrid,1,INC-0172,0.37315944778115534
TASK-030,C3_hybrid,2,SOP-0042,0.34245504412721883
TASK-030,C3_hybrid,3,LL-0026,0.3236224067732147
TASK-030,C3_hybrid,4,INC-0044,0.32270054996029485
TASK-030,C3_hybrid,5,VND-0019,0.29333295855052083
TASK-030,C3_hybrid,6,INC-0108,0.2894822272895511
TASK-030,C3_hybrid,7,VND-0017,0.2485674258287125
TASK-030,C3_hybrid,8,VND-0012,0.2470256410972672
TASK-030,C3_hybrid,9,VND-0029,0.24325048731849197
TASK-030,C3_hybrid,10,SOP-0034,0.18409885889214153
TASK-031,C3_hybrid,1,INC-0058,0.38258015148877655
TASK-031,C3_hybrid,2,INC-0122,0.3680271053573329
TASK-031,C3_hybrid,3,SOP-0027,0.3652890704193197
TASK-031,C3_hybrid,4,INC-0117,0.22835825090722084
TASK-031,C3_hybrid,5,INC-0118,0.1741661898022973
TASK-031,C3_hybrid,6,INC-0041,0.17258930395097752
TASK-031,C3_hybrid,7,INC-0048,0.1694328239953015
TASK-031,C3_hybrid,8,INC-0054,0.16553616737889262
TASK-031,C3_hybrid,9,INC-0169,0.16199118732586476
TASK-031,C3_hybrid,10,INC-0119,0.1593729426959508
TASK-032,C3_hybrid,1,INC-0085,0.34515569010886915
TASK-032,C3_hybrid,2,LL-0022,0.2594577305963319
TASK-032,C3_hybrid,3,INC-0149,0.25592431746692845
TASK-032,C3_hybrid,4,INC-0021,0.252466421927503
TASK-032,C3_hybrid,5,INC-0020,0.212514281920557
TASK-032,C3_hybrid,6,SOP-0009,0.11392801315166923
TASK-032,C3_hybrid,7,INC-0148,0.11002192426723276
TASK-032,C3_hybrid,8,VND-0015,0.10671677282470349
TASK-032,C3_hybrid,9,VND-0009,0.10671568260988688
TASK-032,C3_hybrid,10,VND-0030,0.10671568260988688
TASK-033,C3_hybrid,1,INC-0032,0.47593938574652506
TASK-033,C3_hybrid,2,INC-0160,0.41449319186179256
TASK-033,C3_hybrid,3,INC-0096,0.34756868271512353
TASK-033,C3_hybrid,4,SOP-0031,0.2559234241273779
TASK-033,C3_hybrid,5,INC-0158,0.226569624607445
TASK-033,C3_hybrid,6,INC-0060,0.1760182009378097
TASK-033,C3_hybrid,7,INC-0094,0.1625605220813484
TASK-033,C3_hybrid,8,INC-0111,0.15486491459657506
TASK-033,C3_hybrid,9,INC-0175,0.13977126636475495
TASK-033,C3_hybrid,10,INC-0088,0.12798931019149504
