comparison,mcnemar_b10,mcnemar_b01,mcnemar_p,wilcoxon_stat,wilcoxon_p,mean_MRR_diff,MRR_diff_ci_low,MRR_diff_ci_high
C2_metadata_filtered vs C1_free_text,0,6,0.03125,0.0,5.79039278864947e-05,0.24855158730158733,0.15142113095238094,0.34836160714285686
C3_hybrid vs C1_free_text,0,12,0.00048828125,0.0,3.81201086702865e-05,0.3325396825396825,0.2195436507936508,0.4459002976190473
C4_generic_taxonomy vs C1_free_text,1,4,0.375,12.0,0.006363890440205919,0.08469246031746032,0.020893105158730163,0.15428224206349203
