removed_field,Accuracy@1,Accuracy@3,MRR
none,0.5,0.925,0.710654761904762
technology_domain,0.55,0.725,0.6810714285714285
incident_type,0.625,0.875,0.7539583333333333
severity,0.5,0.925,0.710654761904762
region,0.5,0.925,0.710654761904762
